id n0 n1 x y z
161 1 1 17.17452014 29.42681013 24.98551469
162 1 1 17.09503335 30.29491195 26.45884045
163 1 1 17.42009224 31.04967871 26.72425958
164 1 1 17.14455142 30.49045204 27.33484962
165 1 1 17.59782342 31.19034707 27.60283383
166 1 1 14.31050359 15.55760496 9.09692356
167 1 1 14.60288910 15.34244454 8.24782632
168 1 1 14.46326706 16.40763761 9.52480709
169 1 1 14.53220716 16.67875993 10.30960895
170 1 1 14.87807385 17.39364666 10.69642167
171 1 1 16.76458723 29.07434991 26.44668198
172 1 1 16.94865070 28.85942016 25.59672623
173 1 1 16.85589526 29.73350215 26.90586236
174 1 1 16.87149757 29.90923296 27.85965480
175 1 1 17.30581589 30.61120764 28.21332143
176 1 1 14.04538755 14.97303490 9.58590521
177 1 1 14.31367174 14.69614402 8.71277988
178 1 1 14.21201118 15.80306367 9.97533423
179 1 1 14.26130901 15.99931188 10.81657878
180 1 1 14.62528198 16.70252093 11.21936783
181 1 1 16.49827149 28.44111818 27.03487537
182 1 1 16.70096324 28.22289509 26.18827755
183 1 1 16.61084890 29.17573552 27.43933487
184 1 1 16.60871538 29.32283805 28.38576252
185 1 1 17.02682111 30.01851147 28.78916243
186 1 1 13.77342725 14.37501705 10.13421077
187 1 1 14.02394415 14.16202921 9.25573312
188 1 1 13.95075635 15.18085970 10.46430653
189 1 1 13.98122148 15.33019965 11.31282303
190 1 1 14.36085773 16.04155642 11.72190850
191 1 1 16.22225115 27.81396757 27.61238691
192 1 1 16.43347062 27.59110323 26.77045094
193 1 1 16.35246927 28.57700683 27.96996317
194 1 1 16.32883898 28.67507891 28.86818050
195 1 1 16.73915404 29.39439492 29.29038600
196 1 1 13.49391391 13.74512256 10.73009845
197 1 1 13.71920219 13.57580206 9.88471874
198 1 1 13.67728190 14.54236041 11.00721829
199 1 1 13.69397576 14.67284407 11.86739388
200 1 1 14.07394337 15.39444706 12.17916543
201 1 1 15.93338525 27.13235859 28.13893955
202 1 1 16.16690778 26.99539081 27.29569048
203 1 1 16.07281356 27.91217784 28.49264157
204 1 1 16.03231738 27.96266394 29.35500579
205 1 1 16.41294309 28.68561341 29.71780533
206 1 1 13.21994496 13.11136818 11.34727667
207 1 1 13.42958372 12.92399821 10.52483202
208 1 1 13.39830133 13.90615336 11.59773060
209 1 1 13.40199898 14.03382979 12.46598604
210 1 1 13.77429810 14.74686455 12.73389919
211 1 1 15.62643951 26.41311215 28.64803866
212 1 1 15.86374263 26.32903555 27.82948600
213 1 1 15.77865143 27.19808797 28.99364723
214 1 1 15.74174963 27.23756453 29.85144773
215 1 1 16.11221856 27.95571346 30.20438223
216 1 1 12.96882295 12.45704415 11.90972649
217 1 1 13.19951014 12.27723815 11.06865076
218 1 1 13.11673068 13.26741324 12.20321673
219 1 1 13.12385566 13.44994852 13.07688464
220 1 1 13.51149825 14.19805286 13.35391601
221 1 1 15.32347042 25.69370874 29.09516432
222 1 1 15.57403842 25.61433076 28.23775815
223 1 1 15.48018726 26.47452045 29.49660988
224 1 1 15.46740575 26.51747422 30.36038498
225 1 1 15.84100019 27.22649520 30.70821566
226 1 1 12.99273101 11.62064822 11.62761312
227 1 1 12.84976889 12.64975207 12.78233855
228 1 1 12.74241228 11.82122848 12.47176448
229 1 1 12.83647351 12.85452738 13.65232712
230 1 1 13.21271327 13.62504663 13.94851517
231 1 1 12.90105237 13.05304603 14.52883760
232 1 1 13.35581696 13.79157988 14.80714175
233 1 1 14.91935529 24.21653244 29.12183581
234 1 1 15.24613073 24.15419813 28.26663435
235 1 1 15.25464194 24.91667115 28.67971315
236 1 1 15.01371676 24.98539165 29.55146248
237 1 1 15.18979412 25.75660870 29.97095147
238 1 1 15.64168186 26.56466912 31.24027850
239 1 1 15.22818979 25.83591658 30.85483330
240 1 1 12.59619962 12.02593189 13.34646446
241 1 1 12.54851777 11.18584082 13.02232494
242 1 1 12.55681387 12.26278149 14.21356436
243 1 1 12.58858013 12.48133862 15.08777282
244 1 1 13.02115768 13.24794892 15.40141834
245 1 1 14.57893092 23.52385839 29.56852259
246 1 1 14.88442997 23.45684567 28.68583025
247 1 1 14.70566825 24.27683499 30.00317988
248 1 1 14.91419200 25.05310982 30.43952536
249 1 1 15.00638999 25.14862196 31.29939923
250 1 1 12.36691368 11.40905568 13.91644690
251 1 1 12.39127944 10.58893027 13.57759984
252 1 1 12.29201415 11.65675746 14.75959401
253 1 1 12.32397883 12.00160869 15.70362093
254 1 1 12.70302413 12.74627704 15.98629909
255 1 1 12.37700768 12.23645378 16.64400293
256 1 1 12.81702537 12.94867967 16.83979561
257 1 1 14.17181721 22.12685575 29.48154138
258 1 1 14.51862272 22.02349503 28.56732811
259 1 1 14.53319909 22.77268466 29.05645377
260 1 1 14.26134513 22.84421392 29.96854637
261 1 1 14.40606743 23.57341772 30.50350115
262 1 1 14.64944480 24.32748631 30.88195495
263 1 1 14.79338485 24.44468228 31.67675885
264 1 1 12.17489957 10.72655814 14.45094540
265 1 1 12.09197855 11.22344444 15.35908789
266 1 1 12.00105506 10.42431812 15.18741323
267 1 1 12.05290523 11.46517800 16.27908454
268 1 1 12.06010043 11.69889440 17.19134092
269 1 1 12.46721925 12.48324413 17.58932046
270 1 1 12.07027992 11.86938261 17.99619724
271 1 1 12.27586033 12.32143212 18.62300746
272 1 1 13.76145295 20.72184699 29.27597985
273 1 1 13.67189778 19.98491091 28.79418692
274 1 1 14.13743883 21.40894208 28.94787082
275 1 1 13.83530531 21.44570808 29.83975174
276 1 1 13.94519747 22.14713837 30.43004219
277 1 1 14.13498763 22.84246366 30.87637148
278 1 1 14.42809286 23.60595401 31.44720817
279 1 1 14.16488076 22.78636507 31.65446429
280 1 1 11.87916544 10.64940494 15.99178808
281 1 1 11.81096762 10.93938760 16.91201268
282 1 1 11.74150546 10.10959697 16.48164621
283 1 1 11.74080384 11.07586607 17.84761475
284 1 1 11.79666747 11.45740572 18.68519032
285 1 1 12.34172887 12.57947664 19.56271079
286 1 1 11.91668180 11.86768502 19.40568147
287 1 1 12.03232012 12.26601266 20.27728805
288 1 1 13.26357490 19.25788625 29.10542141
289 1 1 13.20960922 18.61068699 28.51473512
290 1 1 13.62163329 19.28084976 28.25028355
291 1 1 13.38277578 19.96813549 29.59569894
292 1 1 13.51459807 20.69837886 30.12211977
293 1 1 13.67232556 21.42146541 30.73480900
294 1 1 13.87358592 22.01959886 31.40893036
295 1 1 13.62203371 21.16589457 31.59681043
296 1 1 11.62220108 10.26388813 17.32337108
297 1 1 11.50595644 10.65430888 18.79818306
298 1 1 11.52492061 10.33296000 18.11070116
299 1 1 11.53282268 11.02266219 19.49540768
300 1 1 11.64006143 11.51622020 20.21245952
301 1 1 12.18247477 12.69567160 21.06412878
302 1 1 11.72170597 11.91772334 21.02370061
303 1 1 11.83196707 12.35332290 21.79733007
304 1 1 12.32078926 13.11988773 21.84187150
305 1 1 11.93245861 12.77658041 22.55839081
306 1 1 12.74342749 17.17954361 28.01803633
307 1 1 13.01934083 17.07026506 27.18717712
308 1 1 13.30032124 17.74582928 27.36866548
309 1 1 12.77615400 17.80550925 28.77952180
310 1 1 13.11622729 17.98380539 28.03894533
311 1 1 12.89753484 18.48101679 29.32985564
312 1 1 13.01494600 19.15391777 29.94889575
313 1 1 13.19754073 19.86973911 30.37490337
314 1 1 13.40696050 20.62395734 30.93816627
315 1 1 13.16878270 19.82121373 31.13206145
316 1 1 11.39260949 9.73571070 18.75532352
317 1 1 11.34876389 10.66836580 20.23450722
318 1 1 11.32170726 10.04724269 19.52683313
319 1 1 11.38495284 11.09767618 20.99234856
320 1 1 11.44669514 11.54178846 21.77684224
321 1 1 11.51084873 11.95581699 22.53673115
322 1 1 12.02386287 13.20165488 23.29899223
323 1 1 11.57927328 12.37240694 23.27827889
324 1 1 11.65171861 12.80093558 23.99759446
325 1 1 12.09785373 13.63325060 24.04356628
326 1 1 11.72890672 13.25384571 24.70695703
327 1 1 12.16143819 14.10033026 24.81585258
328 1 1 12.08144840 14.44752871 25.76609700
329 1 1 11.81275574 13.73917554 25.40644931
330 1 1 12.15748251 14.99140955 26.49267828
331 1 1 12.54139480 15.27384542 25.81271350
332 1 1 12.21370070 15.51229235 27.19775496
333 1 1 12.59135358 15.85265928 26.57791807
334 1 1 12.21098867 15.91718972 27.92654675
335 1 1 12.59004948 16.40159704 27.37872941
336 1 1 12.36192004 16.53426385 28.37155025
337 1 1 12.45863098 17.10297435 28.96619970
338 1 1 12.56700844 17.71859878 29.68479622
339 1 1 12.73213828 18.36921099 30.19014922
340 1 1 13.12416097 19.31408750 31.71182139
341 1 1 12.92626063 19.03774178 30.84624212
342 1 1 11.23219363 9.84834631 20.34262204
343 1 1 11.20843585 10.71058655 21.79996825
344 1 1 11.19818017 10.22383913 21.05921925
345 1 1 11.22572500 11.09964454 22.56222131
346 1 1 11.26370225 11.51372083 23.30258405
347 1 1 11.31370150 11.94109840 24.04197170
348 1 1 11.38044208 12.40022929 24.75538260
349 1 1 11.46398124 12.90065803 25.45798203
350 1 1 11.60978793 13.55688626 26.10214020
351 1 1 11.76940442 14.17923876 26.59174310
352 1 1 11.85044501 14.68952816 27.28320427
353 1 1 11.91720048 15.16056038 27.99508178
354 1 1 12.02504666 15.73423774 28.75961248
355 1 1 12.16534082 16.31902432 29.29483168
356 1 1 12.33245154 16.96479587 29.84542923
357 1 1 12.72637502 18.23321097 30.98602697
358 1 1 12.51431442 17.52370998 30.62914743
359 1 1 11.14059293 9.84361422 21.80609087
360 1 1 11.11412973 10.20925151 22.58709436
361 1 1 11.11278737 10.60811716 23.33589743
362 1 1 11.17722286 11.50958941 24.83589682
363 1 1 11.13535429 11.05119938 24.07441791
364 1 1 11.24229820 12.01971850 25.54596549
365 1 1 11.34577112 12.66051015 26.22902851
366 1 1 11.46205359 13.28252442 26.86200649
367 1 1 11.57915912 13.85948398 27.44900611
368 1 1 11.68105249 14.34752353 28.13453165
369 1 1 11.81999435 14.93794528 28.80594229
370 1 1 11.97730506 15.44419975 29.63558264
371 1 1 11.84867238 14.61637202 29.52799998
372 1 1 12.16022320 16.09629644 30.16412017
373 1 1 12.35169217 16.73270914 30.63857281
374 1 1 11.14416920 10.61713121 24.84177045
375 1 1 11.18643550 11.10583388 25.64714525
376 1 1 11.24745292 11.78183488 26.34646000
377 1 1 11.33668590 12.39487844 27.04249916
378 1 1 11.44172435 12.98180066 27.68721201
379 1 1 11.55753663 13.48676586 28.32453634
380 1 1 11.69401249 14.02364521 28.95055276
381 1 1 20.25665666 30.63201772 9.95317495
382 1 1 20.26567325 30.06619755 9.26720378
383 1 1 20.95305749 30.58231519 9.34611422
384 1 1 20.11847949 31.05821255 10.67020647
385 1 1 20.95437339 31.15084211 10.03328195
386 1 1 20.17093240 31.60714170 11.42602542
387 1 1 20.70522932 31.53792897 10.75189283
388 1 1 20.43107912 32.19955783 12.07807682
389 1 1 20.94513962 32.10408039 11.38750105
390 1 1 20.58771710 32.68006195 12.75889595
391 1 1 21.25421767 32.63058300 11.99219350
392 1 1 21.30005506 33.03771187 12.69088411
393 1 1 19.33937540 28.14577111 8.17756371
394 1 1 19.34651125 27.49874139 7.59424991
395 1 1 19.99978561 28.01951092 7.49399276
396 1 1 19.30390573 28.76951520 8.84898292
397 1 1 19.95045910 28.70249874 8.12842002
398 1 1 19.63886627 29.48600960 9.23599019
399 1 1 20.09633691 29.35341896 8.64348458
400 1 1 19.62040242 30.01796300 9.89925869
401 1 1 19.55843319 30.48130805 10.61274709
402 1 1 19.54182226 30.98805077 11.40810938
403 1 1 19.73405921 31.63096837 12.13700298
404 1 1 19.90628552 32.18365637 12.84377797
405 1 1 20.76306293 33.15484862 13.50060844
406 1 1 20.09342688 32.70842545 13.57403763
407 1 1 20.36782915 33.25316569 14.32701531
408 1 1 20.99488538 33.85691854 14.88428693
409 1 1 20.35744162 33.55959009 15.14895486
410 1 1 21.47596985 34.27543548 15.46181764
411 1 1 20.69298786 34.00515211 15.82428236
412 1 1 18.40895122 26.17688552 7.56742244
413 1 1 18.87763549 25.97236211 6.86922634
414 1 1 19.68232035 26.42982188 6.54289833
415 1 1 18.74311849 26.89942046 7.74274824
416 1 1 19.18533882 26.71539538 7.12174148
417 1 1 18.73838914 27.47294985 8.28629842
418 1 1 18.76571765 28.06173806 8.86751140
419 1 1 19.75230319 33.00075607 15.06015112
420 1 1 19.88447737 33.39548198 15.81932169
421 1 1 20.57081984 34.20526957 16.80377691
422 1 1 20.09744103 33.76724424 16.42676493
423 1 1 19.82142433 33.74401513 17.25324303
424 1 1 21.11388994 34.60430466 17.26679722
425 1 1 20.37856823 34.28209241 17.68263540
426 1 1 17.93218498 24.64869034 7.03621524
427 1 1 18.35869739 24.35577958 6.34359218
428 1 1 18.60521277 25.18685852 6.60683423
429 1 1 18.18542885 25.47179993 7.30356918
430 1 1 19.71911948 33.82782027 18.05578152
431 1 1 20.22710239 34.34580151 18.60861865
432 1 1 19.60293442 33.88164922 18.96475571
433 1 1 20.19148720 34.44298055 19.54226020
434 1 1 17.54033705 22.23868253 6.10659213
435 1 1 18.05857607 21.80246046 5.46350725
436 1 1 18.11014297 22.70659892 5.75721374
437 1 1 17.60504165 23.08049312 6.45934200
438 1 1 18.19201942 23.54993585 6.07005510
439 1 1 17.70541499 23.88812593 6.82546358
440 1 1 19.52936638 33.91712716 19.71525348
441 1 1 20.07542881 34.43232035 20.38137581
442 1 1 19.45329212 33.93062920 20.56195516
443 1 1 19.76344710 34.23917252 21.26582296
444 1 1 20.47789311 34.70287790 21.13062917
445 1 1 20.12884760 34.48632057 21.99408529
446 1 1 17.00778948 21.72978448 6.53619547
447 1 1 17.41366496 21.36975209 5.88295514
448 1 1 17.10713044 22.55065739 6.87381141
449 1 1 17.85950268 26.28872398 12.19205183
450 1 1 18.02078884 26.96458616 12.75528389
451 1 1 18.15907949 27.26443514 13.55174467
452 1 1 18.25397893 27.92936414 14.05449486
453 1 1 18.34231739 27.99310126 14.85888887
454 1 1 18.38726109 28.70768781 15.40614259
455 1 1 18.41850545 29.38495713 16.09860932
456 1 1 19.06604210 33.55134569 21.13719738
457 1 1 19.33119721 33.87593765 21.89246916
458 1 1 19.66142089 34.14177445 22.56777009
459 1 1 16.66746267 20.03651152 6.25334541
460 1 1 17.18218066 19.73733603 5.62630491
461 1 1 17.33351857 20.51296191 5.68276706
462 1 1 16.84186195 20.81266097 6.32828362
463 1 1 17.33957567 24.20449333 11.21246973
464 1 1 17.58555848 24.82602986 11.81054421
465 1 1 17.80804130 25.43982563 12.42798414
466 1 1 18.00218377 26.08258075 13.05772706
467 1 1 18.15457038 26.53000638 13.71124847
468 1 1 18.28530880 27.15348265 14.41169163
469 1 1 18.42769866 27.84055230 15.66174575
470 1 1 18.44026007 28.53098718 16.25737195
471 1 1 18.43991346 29.00850807 16.96406821
472 1 1 18.41155720 29.50259183 17.70694367
473 1 1 18.36193889 29.95580650 18.46528128
474 1 1 19.00584104 33.54272959 22.75622943
475 1 1 19.70407776 34.11576199 23.30497058
476 1 1 19.07762446 33.57950403 23.55552385
477 1 1 19.53377946 33.88796918 24.15314485
478 1 1 16.22530723 18.78970734 6.43343739
479 1 1 17.03694720 18.44948876 5.54198293
480 1 1 16.71361405 19.13979406 5.94742988
481 1 1 16.21697456 19.57382895 6.72277761
482 1 1 16.98067803 22.96752427 10.85742056
483 1 1 17.24376686 23.36893786 11.50376796
484 1 1 17.52408125 23.99134046 12.08283759
485 1 1 17.77170664 24.57701221 12.67292434
486 1 1 17.99151991 25.23830553 13.26910395
487 1 1 18.32748511 26.34975954 14.63396602
488 1 1 18.19354236 25.76432428 14.00763836
489 1 1 18.40467825 27.10095933 15.21256189
490 1 1 18.52199163 26.96581629 16.05506501
491 1 1 18.50692427 28.10307675 17.09585514
492 1 1 18.50764099 27.67192493 16.45569073
493 1 1 18.47029030 28.60200191 17.78393577
494 1 1 18.40906252 29.05348560 18.48868505
495 1 1 18.32096688 29.49493830 19.25473355
496 1 1 18.23285310 30.00277640 19.86359649
497 1 1 18.74840687 33.18565413 24.22074196
498 1 1 19.33369558 33.62304790 24.84774798
499 1 1 18.79218506 33.12072828 25.07125686
500 1 1 19.84095138 33.81256935 25.48121078
501 1 1 15.86662282 18.12998034 6.75215165
502 1 1 16.47673074 18.11801114 6.00915986
503 1 1 16.53569606 21.55753815 10.66244412
504 1 1 16.84003522 22.20959754 11.07493794
505 1 1 17.11967018 22.48747993 11.75822135
506 1 1 17.45609593 23.15941262 12.34504948
507 1 1 17.97654538 24.34703861 13.47947137
508 1 1 17.73317062 23.67753857 12.93868688
509 1 1 18.18714799 24.98663418 14.08917148
510 1 1 18.60261098 27.08435568 17.02381569
511 1 1 18.56784871 27.67679788 17.79990857
512 1 1 18.40180196 28.62395903 19.23475754
513 1 1 18.50619335 28.10202409 18.54296196
514 1 1 18.27080876 29.01103256 20.07654233
515 1 1 18.15496120 29.61508839 20.57161865
516 1 1 18.01986102 29.84986432 21.34117691
517 1 1 18.48501331 32.69830835 25.68703094
518 1 1 19.21292958 33.32515703 25.78648431
519 1 1 15.72382205 16.64606627 6.68314520
520 1 1 16.34971351 16.57371154 6.03718558
521 1 1 16.03837005 17.38625529 6.38710061
522 1 1 15.51302388 17.43652420 7.11177621
523 1 1 16.08487044 20.16783778 10.77344329
524 1 1 16.44334999 20.83301302 11.17810101
525 1 1 16.79237503 21.54560106 11.54587617
526 1 1 17.36688874 22.39655970 12.55712757
527 1 1 17.06447851 21.63451780 12.26105057
528 1 1 17.68125900 22.76170074 13.23764802
529 1 1 18.51112434 27.69162324 19.34344483
530 1 1 18.37689423 28.20494413 19.96645063
531 1 1 18.12299930 28.95639847 21.06431990
532 1 1 18.25323780 28.23577921 20.77029698
533 1 1 17.93876926 29.18829689 21.90661558
534 1 1 17.74715293 29.43122609 22.71573355
535 1 1 18.15553358 32.20241116 26.31223961
536 1 1 18.80004891 32.81798821 26.45359193
537 1 1 18.51009539 32.35624814 27.13239560
538 1 1 19.24287025 32.88677920 27.24612907
539 1 1 15.39110323 15.92035303 7.05419327
540 1 1 16.00074023 15.85267238 6.38264199
541 1 1 15.21975717 16.72450095 7.41917073
542 1 1 15.91751869 19.43885940 11.21900650
543 1 1 16.33432327 20.09622865 11.68426243
544 1 1 16.71111193 20.78035724 12.03445206
545 1 1 17.02940665 20.89443312 12.78824014
546 1 1 18.05602491 28.32278554 21.70775900
547 1 1 18.22142681 27.59433164 21.35400952
548 1 1 17.84226720 28.52525103 22.51069029
549 1 1 17.59898946 28.83888141 23.35053316
550 1 1 17.89038755 31.73312309 26.96521784
551 1 1 18.18653215 31.82028799 27.79285456
552 1 1 18.88273517 32.36998805 27.91131198
553 1 1 15.06414799 15.20792340 7.47370292
554 1 1 15.66494679 15.13804163 6.76845669
555 1 1 15.28175937 18.06252976 11.17504326
556 1 1 15.71800827 18.71258109 11.64188979
557 1 1 16.18145875 19.38675329 12.10560239
558 1 1 16.64488156 20.04866159 12.60097790
559 1 1 16.38057342 19.16986572 12.92898699
560 1 1 17.99296347 27.59388948 22.27968659
561 1 1 17.71120064 27.98375532 23.12222687
562 1 1 17.80165349 27.14440292 23.05919012
563 1 1 17.42718745 28.22505158 23.98276071
564 1 1 17.17412189 28.51172411 24.76962017
565 1 1 17.87831861 31.25271948 28.43868361
566 1 1 18.57232417 31.83802340 28.56890628
567 1 1 15.05183275 13.79003237 7.62971409
568 1 1 15.69498665 13.62617518 7.01920045
569 1 1 15.34701716 14.44349556 7.18803524
570 1 1 14.74731217 14.51788587 7.93623890
571 1 1 15.02397924 17.34671599 11.60174371
572 1 1 15.47047095 17.96064202 12.06935844
573 1 1 15.94122094 18.60472413 12.48828823
574 1 1 16.17218838 18.41699228 13.41409566
575 1 1 17.52936811 27.38975510 23.79314336
576 1 1 17.69804589 26.39848429 23.51882083
577 1 1 17.22078816 27.56138146 24.61909608
578 1 1 16.94742905 27.97304138 25.38851483
579 1 1 17.57897671 30.65166309 29.06167594
580 1 1 18.28181791 31.28645193 29.19082477
581 1 1 18.01309916 30.72790323 29.76628722
